text,label
бұл еврейлердің лас рөлі сабра мен шатиладағы фалангтардың күштерімен менің мұсылман бауырларым және газадағы және басқа палестинадағы мүжахидтер біз біз мүмкін болған жерде кресттереврей одағын ұрыпсоғып біз сіздермен бетпебет келіп отырмыз және көп ұзамай сіздердің араларыңызға кедергі болатын шекаралар мен шектеулерді бұзамыз және американдықтардың ирактан біздің жақындап келе жатқан белгілерімізден кетуіне жол береміз,violent
біз сіздерді жүректерімізбен және қанымызбен құтқардық және мен сіздердің араларыңызда сіздің жараларыңызды айықтырамын және олардың азаптарын азайтамын деп үміттенемін,violent
екінші хабарға келер болсақ бұл мысырдағы мұсылмандарға арналған мен оларға айтамын газаны қоршауды алып тастау бұл сіздердің міндеттеріңіз егер сіз газадағы халқымыздан қоршау алынып тасталғанға дейін бас тартпаған ереуілдер демонстрациялар мен наразылық акцияларын ұйымдастырып қатысқан болсаңыз онда сатқын хосни мубаракқа құлақ асу керек,violent
газадағы бауырларымызды сатқын хосни мубарактың қолынан құтқару үшін студенттер оқудан жұмысшылар мен жұмысшылардан бас тартатын ереуілдер науқанын жасай алмайсыз ба,violent
мен мысыр армиясындағы азат адамдарға сүлеймен хатерде болғандығыңызды айтамын үлгі және үлгі ал сатқын қылмыскер сізді дініңізге опасыздық жасауыңызға және бауырластарыңызды қоршауға және израильдік ұшақтар оларға қарсы жасаған қылмыстарын аяқтағанға дейін олардың порттарын жауып тастау үшін қолданады деп айтамын,violent
сондықтан сіз қашан шайтанның әскері болып қала бересіз құрметті синайдың құрметті тайпаларына айтамын бұл күн сендердің күндерің сондықтан исламдағы ағайындарыңды және газадағы туысқандарыңды бір наннан бастап танк шахтасына дейін барлық керек жарақтарымен және жабдықтарымен қамтамасыз етіңдер,violent
сіздің қадір қасиетіңізге абыройыңызға және қол сұғылмауыңызға қол сұғатын сатқын египет режимі бұл исламдағы бауырларыңызды және газадағы тектілікті қоршайтын және яһудилермен бірге оларды өлтіру үшін жасалған жүйе,violent
газа қаласындағы бауырларыңызда сатқын режимнің қоршауын олардан бұзды менің үшінші хабарламам туралы айтатын болсақ ол барлық мұсылмандарға мен оларға айтамын бұл американдық жалған ақпарат әлемге американың саясатын өзгертетін құтқарушы ретінде көрсетуге тырысты,violent
газадағы бауырларыңыз бен қарындастарыңызды мейірімсіз немесе аяушылықсыз өлтірді мен ислам әлеміне демонстрацияға шыққан ашулы мұсылман жамағатқа айтамын демонстрациялар бомбалар алдында жеткіліксіз бірақ біздің исламдық қаһарымыз сионистік крестшілер одағының тіректерін шайқайтын тиімді және тиімді әрекетке айналады,violent
барлық жерде адал guardian мұсылмандар оң жауап және джихад заттай ей барлық жерде мұсылмандар сионистік крест жорығына ұмтылыңыз және оған қол жеткізген барлық жерде оның мүдделерін қорғаңыз және бауырластарыңыз бен ұлдарыңызға қарсы тұрыңыз,violent
абдулла бин эйд әлазиз израильді толық мойындаудың алғышарты ретінде ньюйоркте переспен кездесу үшін конфессияаралық үнқатысуды жасады,violent
абдулла салех йемен әлазза мен әлабаны крест жорығының исламның үйлеріне қарсы шабуылға арналған жабдықтау базасына айналдырды және малики американдық күштерден сатқындардың билік етуін жалғастыруын өтінді сондықтан олар сатқындардың ислам дұшпандарының крест жорықтары мен еврейлердің мүдделеріне шабуыл жасау әрекетінен қайда қай жерде және қай жерде болса да бас тартты дейді шындық элиталық жиһадтық бақтағы бауырлар,violent
тіпті ең ірі өтірікшілер де біраз уақыт шындықты айтуға тырысады дәйексөз иракта көтерілісшілердің шабуылдары болуы мүмкін,violent
біздің мінез құлқымыз өзгеріп жау ирак қауіпсіздік күштерінің мүмкіндіктерін тексеруге тырысқанда немесе олардың әлі де өзектілігін дәлелдеуге тырысқанда біз зорлық зомбылықтың төмендеуін және ағынын байқаймыз ба иә деді калл дан ға дейін пентагондағы минуттық сұхбат,violent
менің ойымша біз мұны көретін шығармыз бірақ біз айтарлықтай өсуді күтіп отырғанымызды білмеймін ол ирактағы қауіпсіздік соңғы екі жыл ішінде едәуір жақсарғанын және ақш басқыншылығы кезінде азаматтық соғысқа қауіп төндірген секталық зорлықзомбылықтың қайта пайда болуы екіталай екенін айтты,violent
сәрсенбі күні багдадтың солтүстігінде орналасқан сүнниттік мешітте жанкешті кем дегенде бес адамды өлтірді,violent
полиция қызметкерінің айтуынша шабуылдаушы жарылғыш зат салынған белдікті жарып жіберген кезде табынушылармен араласқан жарылыс кем дегенде адамды жарақаттады,violent
қаңтар қауіпсіздік туралы келісім барлық америкалық әскерилердің ирактан жылдың соңына дейін шығарылуын талап етеді сонымен қатар жауынгерлер маусымға дейін ирактың ірі қалаларында өмір сүрмеуі керек сонымен қатар обама ақпан айында пентагон нан ға дейін емес барлығын шығарады деп мәлімдеді,violent
ирак әскерлері жылдың тамыз айының аяғында сол жақта қалғандар негізінен көтерілісшілерге қарсы тұруға және ирактың әскери және полиция күштерін даярлауға бағытталады,violent
калл сонымен бірге обама әкімшілігі ирактағы қауіпсіздікке келесі екі жыл ішінде зорлық зомбылық күрт күшейе түсетін болса әскер деңгейінде бұдан әрі қандай да бір өзгерістер қажет болуы мүмкін бе деген мәселені қадағалап отырғанын айтты,violent
ирактың көп бөлігінде зорлық зомбылық күрт төмендейді сәрсенбідегі жанкешті бомбаланған аймақты қоршап тұрған аймақ біршама тыныштыққа ие болды дегенмен бұл сүнниттер мен шииттердің құбылыстары алайда соңғы жарылыстар мен басқа да шабуылдар ақштың жоғарғы қолбасшыларын кем дегенде ирактың екі ірі қаласында мосул мен бақубада маусымдағы мерзімін қайта қарауға мәжбүр етті,violent
жақында ирактан осы аптада оралған республикашыл сенаторлар тобы кейбір мерзімдердің жақында келетіндігіне алаңдаушылық білдірді шыны керек иракта әскери және қарапайым тұрғындардың барлық әскери күштерді маусымға дейін шығарып тастауына сондай ақ келесі жылдың тамыз айында шығарылуға қатысты алаңдаушылықтары бар деді,violent
бізде үш шетелдік оның ішінде әйелдер де бар деп жауап қатты және қатал болды оларды өлтіріңіз мумбай қонақ үйінің ішінен мылтық атылды одан кейін шаттық шеңбері естілді,violent
қатыгез алмасу үндістанның осы аптада пәкістанға берген дәлелдерінің бөлігі болған мумбайдағы шабуылдар кезінде ұсталған телефон қоңырауларының стенограммасынан туындайды,violent
ньюделидің мәлімдеуінше табылған қарулардың фотосуреттері спутниктік телефондардан алынған мәліметтер және жалғыз қалған қарулы адамды жауапқа тарту туралы мәліметтер қамтылған мумбай қоршауы шекарадан басталған пәкістан билігі бұл айғақтарды аймақтағы шиеленісті күшейту үшін жасалған насихаттық шабуыл деп атады,violent
үндістанның хабарлауынша адамның өмірін қиған шабуылдарды басқарушылар пәкістанда орналасқан лашкарэтайба тобының жетекшілері болған сіздің қонақүйіңізде үш министр және бір министрдің хатшысы бар,violent
біз қай бөлмеде екенімізді білмейміз дейді шабуыл жасаған бірінші түнде таңғы сағат да таж махал қонақ үйіндегі қаруланған адамға бұл жақсы жаңалық бұл торттың қатуы деді ол әзірлеуші оған үкімет шенеуніктерін тауып содан кейін үндістаннан қалаған нәрселеріңді ал деді,violent
біз шейх осусама бин ладеннің антына қол жеткізуге дайынбыз америка және америкада тұратын адам армандамайды,violent
менің мұсылман бауырларым және газада және палестинаның қалған жерлерінде бүгін сенің басыңа қандай да бір аймақпен немесе белгілі бір елмен шектеліп отырған басқыншылық сынақ емес ол мұсылман ұлтына қарсы сионистік крест жорықтары сериясына қатысады және бұл рейдтер обамаға дейін сізге берген сыйлық болып табылады,violent
сабыр мен шатила қырғындарында еврейлер батальондардың күштерімен бірге жасаған лас рөлді ойнайды менің бауырларым және газада және палестинаның қалған жерлерінде біз сіздермен шайқаста болдық,violent
сионистік крестшілер одағын біз қай жерде іске қоссақ та соғыстырамыз және біз сізге тез арада барамыз және біз көп ұзамай ақ сізге жетуге кедергі болатын шекаралар мен шектеулерді жоямыз,violent
америкалықтардың ирактан кетуі сізге жақсы мүмкіндік біз қазір сізбен бірге болғымыз келетіндігімізді біледі сізді жанымыз бен қанымызбен қорғаңыз мен өзімнің жаралыларыңызды емдеп олардың азаптарын жеңілдету үшін қазір сізбен бірге болғанды қалаймын,violent
мен оларға айтамын қоршауды алып тастау сіздің міндетіңіз сіз бұл жауапкершілікті өз мойныңызға алуыңыз керек өйткені егер сіз наразылық акцияларын ереуілдер мен демонстрациялар ұйымдастырсаңыз газа қоршауына дейін қоршау болмай тұрса сатқын хосни мубарак берілуі керек,violent
газадағы бауырларымызды қылмыстық сатқын хосни мубарактың қолынан құтқару үшін оқушылар мектептерге барудан жұмысшылар мен офицерлерден бас тартатын ереуілдер кампаниясын ұйымдастыруға дайынсыз ба мен мысыр армиясындағы қызу адамдарға айтамын сүлеймен хатерде сізде жақсы үлгі бар,violent
біз шейх осусама бин ладеннің антына қол жеткізуге дайынбыз америка және америкада тұратын адам армандамайды қауіпсіздік палестинадағы шындықты көргенге дейін және барлық кәпір армиялар мұсылман жерлерінен шыққанға дейін сізге иерусалим мен әлақса мешітін босатып ислам мен джихадтың туын көтеріп жер үстінде көтеру үшін бір күн көмек ала аламыз деп үміттенеміз,violent
мен өзімнің жаралыларыңызды емдеп олардың азаптарын жеңілдету үшін қазір сізбен бірге болғанды қалаймын өйткені мен бұл құрметті бұрын ұзақ жылдар бойы біздің мүжахедтеріміз бен ауғанстандағы иммигрант бауырларымыз екінші хабар мысырдағы мұсылмандарға бағытталған,violent
иран мен америка соңғы шабуылдар үшін кінәлі болуы мүмкін мені қателеспеңіздер мүжахидтер соғыс басталғаннан бері көптеген шииттермен бірге жұмыс істеушілерді нысанаға алып өлтірді,violent
ал біз американдықтар әйелдер мен балаларды өлтіретінін білеміз егер бұл олардың жұмысына көмектесетін болса әлем иран мүмкіндігінше көп қан төгуді қалайды сондықтан америка иракта мүмкіндігінше ұзақ уақыт отырады сондықтан тегерандағы режимнің өзгеруі туралы ойлана алмайды,violent
ал араб үкіметтері әсіресе египет және сауд арабиясы және американдықтар иранның аймақтың қалған бөлігіндегі ықпалын жобалау қабілетін төмендету үшін иракқа мүмкіндігінше көп ақша мен қаружарақ алуға мәжбүр болғанын қалайды назар аударыңыз бұл мен ойлап тапқан қастандық теориясы емес оны шейх мұстафа әбу әлязид нақты айтқан,violent
біз ұрысты жалғастырамыз біршілікке қатысады уэйсидің сомали үшін бітімгер бола алатындығы туралы шешім қабылдауға әлі ерте деп хабарлайды reuters агенттігіне,violent
бейсенбіде брюссельде донорлар сомалиге өзінің қауіпсіздік күштерін нығайтуға және келесі жылы amisom миссиясын қаржыландыруға көмектесуге кем дегенде миллион доллар беруге уәде берді id nln абди бұл соманың тым аз екенін айтты бұл сан жеткіліксіз сомалиге үлкен ресурстар қажет деді ол біз оны қалпына келтіруге қажет мөлшерден алшақпыз найденобидегі хелен нямбурамваураның және аддисабебадағы барри мэлоненің репортаж джек кимбалл редактор дэниэл уоллис дереккөз рейтер,violent
солтүстік африкадағы алькаида жексенбіде британдықты өлтіреді деп мәлімдеді егер лондон түрмеде отырған радикалды уағыздаушыны босатпаса барымта бұл топ исламистік вебсайтта жарияланған мәлімдемеде егер экстремистік мұсылман уағызшысы абу катада күн ішінде босатылмаса топтың қаңтардың аяғынан бастап ұстаған британдық туристті өлтіретінін айтты,violent
британдық кісіден басқа швейцариялық тағы бір турист ұрлаушылармен бірге қалады солтүстік африкадағы исламдық алькаида aqmi французша қысқартылған атымен белгілі алжирде орналасқан жылы осама бен ладеннің террористік желісіне қосылған және ай сайын ондаған бомбалар немесе буксирлер жүргізеді,violent
қазақстан ауғанстанға ші жылдардағы кеңес ауған соғысынан бергі алғашқы әскерлердің орналастырылуын атап өтетін өзінің бітімгерлерін ауғанстанға жіберуді мұқият қарастыруда мұндай қарамақайшылықты қадам қазан айында жылы польшаның басшылығымен құрылған бітімгершілік күштерін ирактан шығару туралы қазақстанның шешімінен кейін болады,violent
ислам мағребіндегі алькаиданың жетекшісі aqim мұсылмандарды исламшыл вебсайттарда жарияланған жаңа аудиокассетада ақш пен израиль мүдделеріне шабуыл жасауға шақырды,violent
уа магреб халқы еврейлер мен крест жорықтарының мүдделері сіздің елдеріңізде таралған ал сіздің бауырларыңыз сізге жүгінуде қолдарыңызды мүжахидтерге созыңыз және олармен келісіп біздің елдеріміздегі еврейлер мен крест жорықтарының мүдделеріне мейірімділік пен жанашырлық танытпаңыз,violent
әбу мусаб абдел вадуд минуттық лентада мақсаттарыңызды мұқият таңдаңыз бауырластарыңызға ақпарат беріңіз жоспарларыңызды мұқият жасаңыз және құпиялылық пен тыныштықты сақтаңыз,violent
абдул вадуд алжир президенті абдел азиз бутефликаны қатты сынға алды және оны сатқын деп атады ол оны египеттің президенті хосни мубаракпен салыстырып газада болып жатқан оқиғаларға құлақ аспайтынын және алжирліктердің наразылықтар мен демонстрациялар арқылы ашулануларына жол бермейтінін айтты,violent
ол сонымен бірге алжир президентін еврей французалжирлік әнші энрико макиаспен достық қарымқатынасы үшін айыптады ол абдул вадудтың айтуынша бірнеше күн бұрын парижде газа шабуылына қолдау көрсетті ол сонымен қатар алжир полициясы мен армия қызметкерлерін өкініп жылы президент боудиафты өлтірген армия лейтенанты лембарек боумарафидің жолын ұстануға шақырды,violent
абдул вадудтың үшінші хабары мавритандықтарға бағытталған ол елді тазарту міндеті бар деді израильдің қатысуы еврейлерге шабуыл жасап нуакчоттегі елшілігін жауып тастады,violent
алькаиданың барлық жетекшілері қазір жекежеке газадағы дағдарыс туралы айтты алдағы күндері алькаиданың аға мүшелері абу йехя әллиби мұстафа абул язид және адам гадахннан тағы да көптеген хабарлар күтіледі,violent
ирак ақштың ұзақ өмір сүру сценарийін жарды дүйсенбі сәуір gmt ирактағы ақш әскерлері ақш пен ирак ақш әскери күштерін ирак қалаларынан шығарудың соңғы мерзіміне қатысты мүмкін болатын ерекшеліктер туралы келіссөздер жүргізеді дейді,violent
әскери шенеуніктер ирактағы американдық жоғарғы қолбасшы басқарған біріккен әскери операцияларды үйлестіру комитеті генерал рэй одиерно мен ирактың қорғаныс министрі абдул кадир альубайди дүйсенбіде әскерді шығару және нысандарды тапсырудың егжей тегжейін келісу үшін кездесу өткізеді деп хабарлайды,violent
sofa мәлімдемесіне сәйкес өткен жылдың қарашасында ирак пен ақш арасында қол қойылған және жылдың басында күшіне енген уақытша қауіпсіздік туралы келісімге сәйкес ақштың барлық әскери күштері маусымға дейін ирак қалаларын тастап кетуі керек,violent
ирак қалаларында ақш әскери күштерін ұзарту жөніндегі жаңа күшжігер туралы жаңалықтар бірнеше күн багдадта және елдің басқа тыныш аймақтарында болған зорлық зомбылықтан кейін болды бейсенбі және жұмада ирак астанасы мен шығыс дияла провинциясындағы жарылыстарда ден астам адам оның ішінде ирандық қажы қаза болды,violent
ирандық шенеуніктер зорлық зомбылықтың жаңа толқынын айыптай отырып вашингтон шабуылдарды иракта әскери тұрақтылықты жалғастыру үшін пайдалану үшін ұйымдастырды деп мәлімдеді осы қылмысқа және оған ұқсас қылмыстарға басты күдіктілер американдық қауіпсіздік және әскери күштер терроризмге қарсы соғыс қолшатыры астында мұсылман елін аяусыз басып алған деді,violent
ислам революциясының жетекшісі сейіт али хаменеи ирактағы лаңкестіктің улы шөптерінің өсуі міндетті түрде американың қылмыстық жазбасына жазылады ал американдық және израильдік барлау органдары бұған бірінші күдіктілер болып табылады деп сенбі күні иранның ең жоғары лауазымды шенеунігі аятолла хаменеи қосты mgh mj dt пресств,violent
талибан пәкістанды ауғанстанға айналдыруға уәде берді mon apr gmt талибан көтерілісшілері ауғанстан пәкістан шекарасы маңында патрульде талибан сарбаздары өте жақсы жабдықталған және астанасы исламабадқа жақындағанда қорқыныш тудырды,violent
пәкістан армиясы елдің солтүстікбатысындағы содырларға қарсы соғысты жалғастырса талибан пәкістанды басқа ауғанстанға айналдыруға ант береді талибанның басты өкілі қазір техрикэталибан сваты бар жақында техрикэталибан пешавар құрылады,violent
үкімет қанша уақыт жұмыс істей алады егер сол саясатты жалғастыра берсе бұл ел жақын арада ауғанстанға айналады деп мәлімдеді проблемалы сват алқабы деді жексенбі күні пәкістан әскерлері свот алқабына жақын жерде талибанмен ауыр атыс кезінде екі ондаған сарбаздың қаза тапқанынан кейін айтылды,violent
талибан исламабадқа және пәкістанның басқа да ірі қалаларына соғысады деп бірнеше рет айтқан жылы ақштың ауғанстанға басып кіруі екі елдің көршілерінің арасындағы рулық тайпалық белдікті өлім зорлықзомбылық көрінісіне айналдырып пәкістанға шекарадан өтуге себеп болды,violent
пәкістандық талибан әскери күштермен аптаға созылған бітімгершілік үкіметтің дирдің солтүстігінде операция бастағаннан кейін пайдасыз деп атады әскери операция кеше дир қаласында радикалды діни қызметкер суфи мұхаммадтың тұратын қаласы орналасқан шекара корпусының мүшелерін орналастырумен басталды,violent
пәкістан әскери күштері соңғы екі күнде ұрыс кезінде талибан сарбазы және екі талибан қолбасшысы және бір ғана әскери қызметкер қаза тапқаны туралы хабарлайды әскерилердің мәлімдеуінше талибан жетекшісі маулана шахид және оның төрт көмекшісі ұрыс кезінде қаза тапқандар арасында болған есептер расталмады,violent
талибан dir арқылы өтіп бара жатқан конвойды басып алғаннан кейін шекара корпусының бір әскері қаза тауып тағы екеуі жараланды талибан содырлары сонымен бірге майор мен оның жүргізушісін де қолға түсірді,violent
жергілікті полиция читраль және дирскауттар бөлімдерін күшейтуде армия тікұшақ зеңбіректері мен артиллерия талибан лагерлерін нысанаға алады бұрынғы солтүстікбатыстағы әскери операциялардағыдай бейбіт тұрғындар әскери шығындарды азайтуға тырысып әскери фунттардың шоғырлану орталықтарына айналды,violent
кәдімгі пәкістан армиясы пәкістанның солтүстікбатысындағы көптеген операциялардағыдай дирде ұрыс жүргізуде армия басшылығы мен генерал кияни армия штабының бастығы әсіресе талибандармен соғысу офицерлер корпусы мен атақтар мен жарылыстарды бөліп алады деп қорқады деп хабарлады ақш әскери барлау қызметінің жоғары лауазымды қызметкері long war journal журналына,violent
талибан шариғат келісімі әлі де күшінде деп отыр біз дегенмен ақпан айындағы келісімді ұстанамыз деді иззат сонымен бірге сваттың молдасы фазлулланың талибан өкілі мұсылман хан малаканд келісімін пайдасыз деп атады және пәкістандағы операцияларды кеңейтеміз деп қорқытты,violent
талибанның соңғы әрекеттері исламабад пен харипурдағы жергілікті үкіметтерді қатты алаңдатты комиссардың орынбасары қосымша әскерилендірілген рейнджерлерді қаланың солтүстігінде орналасқан ықтимал алға жылжуды болдырмау үшін орналастырды ал қауіпсіздік күштері стратегиялық тарбела бөгетінде контингентті басып қалды,violent
сәрсенбіде израильдік херон өлтіргіш дрондары ең ықтимал таңдау болып табылады өйткені олар ақштың ұшқышсыз ұшқыштарына арзан балама ұсынады және инфрақызыл камера мен радармен жабдықталған деп хабарлайды,violent
маңызды емес ереуілдер мен бейбіт тұрғындардың шығындары ақш пен оның одақтасының арасындағы қарымқатынасты терроризмге қарсы соғыс жағдайына келтірді,violent
равалпинди пәкістан рейтер сейсенбіде истребительдер мен тікұшақ зымырандарының қолдауымен пәкістан күштері астанадан исламабадтан солтүстікбатысқа қарай км жерде км жерде орналасқан басты алқапта талибан содырларына қарсы шабуыл бастады,violent
amnesty international ұйымы сейсенбіде соңғы екі күнде төменгі дирдегі мыңға жуық адам үйлерін тастап кеткендігі туралы хабарлады сватта үш полиция қызметкерін ұрлап кейін біреуін өлтірді рейтерлер,violent
соғыс жоспарларымен қамтамасыз етілген пәкістан әскерлері сват алқабына жақын жерде орналасқан бунер қаласында жаңа операция бастады өйткені исламабад талибан күштерін сыртқа шығару әрекеттерін күшейтті,violent
